"text"
" porter destroyed luggage make large holes wheels ripped spoke  airport told call person phone website havent heard honestly tactic create friction hope passenger rights disappointing behavior"
" porter great option flight delay ive airline delayed porter air canada dollars extra ticket waiting hours flight arrive"
" flight pm loaded flight told unload flight communication whatsover lodging flight told flight attendee luggage carousel porter agent  counter flight  counter porter associate people mobility challenges luggage told flight back weve left security multiple busy lanes people security rushed back gate pm left  communication coming back plane told refrain eating peanuts severe food allergy give drink eat attendant told porter check sit wait information recommend "
" food ive plane im chef fantastic service nice plane impeccably clean pretty comfortable seat wifi trip screen watch flight entertainment top phone screen small fault flew flair airlines days ago porter airlines feels class comparison"
" recommend fly porter flight october direct flight layovers lost checked bag checked bag toronto airport absolutely recover multiple check  calls bag submit list items theyre receipts order refund lost items vintage years receipts feel amount confidence airline care customers"
" give raving review porter experience pleasant stepping back charming whimsical modern conveniences online  alien concepts airline   policy short archaic cumbersome bizarre exception nationalities privilege checking online potential infringement equality rights strikes potentially legally questionable favoritism enhance passengers experience fall specific nationalities physical  counter promptly shuts minutes flight outdated policy easily result missed flights unsuspecting customers frankly companys approach straightforward  outmoded complex dread approach critical matters punctuality safety fall victim outdated practices concern tip iceberg naturally raises questions porters operations scenes passengers advice prospective passengers tread carefully understand policies booking porter beneath surface negatively impact trip"
" family member passed unexpectedly flight called cancel return fare money charge seat wont making double money seat people dont expect family members pass unexpectedly leeway types spots people put "
" flown porter airlines times friendly staff great flight service food drinks delayed flight times supposed leave pm supposed ottawa pm boarding delayed flight  broken wait pm ottawa pm found expensive ottawa good"
" airline doesnt electronic boarding pass purchase reserve ticket basic ticket force counter pick ticket picked ticket randomly weigh carry youre  force check bag charge make check bag attendants dont weigh   pay horrible experience inconsistencies poor experience recommend access boarding passes weigh  dont single people"
" amazing airline time middle seat food choices purchase amazing healthy staff great porter make flight reservations"
" wanted great airline lots room trouble friendly staff toronto halifax return great journeys"
" disappointed porter airlines time flying company connecting flight italy arrived montreal pm pm delayed flight times company including airport unorganized simply put disaster fly porter "
" flight short comfortable onboard small bag passengers stored luggage received bag broken handle top telescopic handle roll back carrying directed  filed claim online picture talk airport reply revisited website follow email month received answer receive "
